Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99,Var100,Var101,Var102,Var103,Var104,Var105,Var106,Var107,Var108,Var109,Var110,Var111,Var112,Var113,Var114,Var115,Var116,Var117,Var118,Var119,Var120,Var121,Var122,Var123,Var124,Var125,Var126,Var127,Var128,Var129,Var130,Var131,Var132,Var133,Var134,Var135,Var136,Var137,Var138,Var139,Var140,Var141,Var142,Var143,Var144,Var145,Var146,Var147,Var148,Var149,Var150,Var151,Var152,Var153,Var154,Var155,Var156,Var157,Var158,Var159,Var160,Var161,Var162,Var163,Var164,Var165,Var166,Var167,Var168,Var169,Var170,Var171,Var172,Var173,Var174,Var175,Var176,Var177,Var178,Var179,Var180,Var181,Var182,Var183,Var184,Var185,Var186,Var187,Var188,Var189,Var190,Var191,Var192,Var193,Var194,Var195,Var196,Var197
0.62671,0.64382,0.58653,0.63914,0.67366,0.57507,0.53616,0.73021,0.74531,0.65007,0.67976,0.67359,0.69018,0.58594,0.73021,0.66942,0.67344,0.77455,0.73757,0.62619,0.63393,0.6657,0.61101,0.65632,0.66109,0.68757,0.67359,0.6808,0.5651,0.55223,0.58452,0.66577,0.57507,0.65015,0.59122,0.5997,0.60327,0.56406,0.72612,0.68817,0.57932,0.61481,0.57247,0.6058,0.57359,0.54554,0.66629,0.50938,0.74018,0.5849,0.6939,0.57314,0.51272,0.64397,0.67091,0.6314,0.66257,0.62664,0.6474,0.59397,0.63512,0.66518,0.60952,0.61667,0.59702,0.67195,0.64851,0.73177,0.62247,0.77612,0.68906,0.62463,0.62671,0.64286,0.73132,0.65379,0.66101,0.58125,0.69479,0.71094,0.71615,0.64092,0.75885,0.70171,0.64554,0.67292,0.5846,0.55536,0.61265,0.63616,0.67344,0.77507,0.57522,0.70521,0.75751,0.62865,0.72039,0.6939,0.54546,0.75588,0.69643,0.6599,0.59963,0.65796,0.74792,0.60952,0.58445,0.68601,0.73661,0.65945,0.69219,0.65469,0.67188,0.65632,0.60007,0.56949,0.69226,0.67969,0.70164,0.71778,0.65625,0.66109,0.54241,0.59085,0.60952,0.69903,0.65365,0.75685,0.65052,0.64271,0.68497,0.68147,0.66734,0.60952,0.62039,0.62664,0.63542,0.65216,0.6532,0.51942,0.61563,0.58281,0.7006,0.75945,0.57135,0.5814,0.60804,0.64167,0.70275,0.53705,0.70692,0.63185,0.64851,0.60685,0.65112,0.62195,0.67254,0.64762,0.75007,0.71421,0.69635,0.52827,0.57411,0.56882,0.57939,0.60015,0.57917,0.63296,0.65015,0.67031,0.54271,0.83393,0.60491,0.62522,0.62976,0.6881,0.65952,0.65685,0.62247,0.58251,0.65491,0.71094,0.62143,0.62396,0.58341,0.69539,0.64844,0.55484,0.56838,0.58177,0.73281,0.59688,0.71786,0.72195,0.55647,0.51481,NaN
0.70707,0.72716,0.63237,0.7308,0.7183,0.59487,0.59955,0.58244,0.77463,0.71049,0.65699,0.70885,0.64866,0.68713,0.62932,0.61823,0.63192,0.75372,0.57716,0.7375,0.53616,0.59189,0.63705,0.71362,0.68385,0.60528,0.6276,0.60074,0.66109,0.70417,0.66042,0.71458,0.64278,0.82292,0.64955,0.65789,0.62604,0.73817,0.66153,0.68698,0.62813,0.57924,0.70893,0.63289,0.6349,0.64435,0.64948,0.57932,0.58616,0.69025,0.69896,0.65945,0.65112,0.52612,0.66064,0.65104,0.73862,0.68393,0.69963,0.71778,0.66205,0.6256,0.72292,0.67515,0.62292,0.75841,0.71518,0.6465,0.6622,0.73966,0.65067,0.62656,0.68385,0.68542,0.71466,0.60573,0.58497,0.63661,0.7064,0.72879,0.759,0.5619,0.60484,0.62448,0.68393,0.63452,0.66674,0.63542,0.56458,0.77768,0.65379,0.69487,0.71987,0.72932,0.72507,0.65588,0.70268,0.66979,0.60885,0.7349,0.65997,0.64963,0.65469,0.7026,0.6439,0.71458,0.65528,0.6558,0.67946,0.71778,0.57879,0.72254,0.58869,0.62403,0.59591,0.61205,0.7308,0.68192,0.60893,0.61362,0.66369,0.64948,0.6756,0.63549,0.70833,0.58147,0.659,0.74955,0.64025,0.65119,0.7308,0.61362,0.58832,0.71667,0.64658,0.74955,0.67827,0.6407,0.65112,0.62448,0.59286,0.52775,0.72768,0.60424,0.56109,0.64479,0.55893,0.64911,0.70677,0.58914,0.68073,0.69018,0.77455,0.5683,0.55945,0.52403,0.69948,0.74643,0.63341,0.6724,0.58921,0.71458,0.71354,0.67299,0.70007,0.64271,0.56577,0.61823,0.68542,0.684,0.60119,0.67054,0.6308,0.62091,0.72887,0.69955,0.70208,0.62768,0.70893,0.58132,0.7058,0.62254,0.61414,0.61682,0.69799,0.65908,0.6215,0.59948,0.63906,0.559,0.609,0.57723,0.58259,0.65737,0.61466,0.72612,NaN
0.64978,0.58549,0.64174,0.68289,0.72351,0.74695,0.76726,0.72098,0.71734,0.67507,0.74658,0.73906,0.63616,0.71421,0.63557,0.5974,0.66004,0.61622,0.58237,0.74687,0.75908,0.64085,0.66414,0.75007,0.58906,0.70632,0.62969,0.59137,0.71734,0.65208,0.74062,0.69479,0.67299,0.65312,0.73185,0.70164,0.74687,0.65588,0.69591,0.72865,0.75937,0.59278,0.72872,0.77039,0.58073,0.6683,0.73177,0.63452,0.64241,0.74754,0.68229,0.76882,0.5907,0.56257,0.57418,0.69063,0.66882,0.72039,0.61942,0.69799,0.66935,0.68705,0.69375,0.70327,0.69063,0.61362,0.75164,0.65067,0.71012,0.59903,0.584,0.62969,0.62656,0.66771,0.71257,0.63177,0.51205,0.69182,0.58869,0.67463,0.71942,0.55982,0.62046,0.62969,0.77976,0.6314,0.66882,0.72396,0.62604,0.72664,0.77984,0.67507,0.63445,0.73973,0.5657,0.70379,0.56101,0.61875,0.62656,0.6651,0.64435,0.69442,0.75156,0.60781,0.58765,0.65729,0.61674,0.66414,0.59613,0.64487,0.69338,0.70588,0.63452,0.70737,0.72612,0.6381,0.67976,0.62463,0.58601,0.62403,0.60952,0.72969,0.6433,0.70945,0.75417,0.49085,0.73192,0.69122,0.79442,0.73036,0.71622,0.69382,0.68103,0.5875,0.62366,0.71414,0.73452,0.56257,0.74695,0.6724,0.77932,0.60796,0.76622,0.55632,0.65171,0.74687,0.74539,0.71369,0.68385,0.72351,0.5849,0.57143,0.77351,0.69122,0.68132,0.70216,0.5974,0.70685,0.61466,0.77135,0.54963,0.71667,0.65208,0.71882,0.69382,0.71042,0.7064,0.69219,0.72812,0.77984,0.58973,0.59866,0.68289,0.72091,0.7122,0.80372,0.76042,0.81518,0.6506,0.70945,0.74539,0.68088,0.67664,0.65536,0.72403,0.6372,0.65484,0.76094,0.63906,0.57567,0.70171,0.69807,0.70551,0.7532,0.57924,0.68028,NaN
0.75923,0.71057,0.61577,0.59754,0.64115,0.53036,0.59427,0.74501,0.79137,0.68348,0.6279,0.66935,0.64457,0.62262,0.6346,0.7808,0.61116,0.68296,0.60432,0.68966,0.53832,0.68676,0.55379,0.66786,0.70685,0.60119,0.7506,0.69249,0.60074,0.61674,0.68966,0.63132,0.61369,0.74278,0.62463,0.60365,0.61466,0.64658,0.77827,0.70893,0.53028,0.55312,0.59963,0.67879,0.54539,0.55781,0.7558,0.53356,0.66332,0.65491,0.73757,0.60208,0.53958,0.72708,0.77842,0.62403,0.65536,0.66942,0.64345,0.6375,0.58385,0.72359,0.67091,0.69606,0.68966,0.70327,0.65067,0.71116,0.57478,0.69702,0.70804,0.68185,0.64747,0.63237,0.60744,0.65789,0.72254,0.6721,0.63043,0.66533,0.67783,0.59531,0.72574,0.79747,0.6474,0.46689,0.69896,0.6532,0.60632,0.6974,0.64033,0.79286,0.56458,0.67001,0.82917,0.59658,0.75692,0.66153,0.68185,0.67351,0.66109,0.73616,0.66935,0.80997,0.78251,0.57507,0.69077,0.79129,0.641,0.64077,0.68304,0.68304,0.59293,0.65327,0.56682,0.74844,0.62254,0.77887,0.79442,0.64807,0.67731,0.68497,0.60781,0.67396,0.56257,0.68259,0.71533,0.73088,0.63616,0.54814,0.66213,0.62083,0.67277,0.73341,0.66957,0.67879,0.58668,0.56369,0.68661,0.6058,0.62001,0.59449,0.6465,0.63036,0.54449,0.63028,0.60365,0.7221,0.71726,0.56629,0.74955,0.62046,0.61317,0.51421,0.74286,0.51682,0.70893,0.54948,0.66577,0.63601,0.65699,0.58132,0.68237,0.68973,0.72083,0.67195,0.50543,0.6381,0.61778,0.63199,0.65022,0.68415,0.5724,0.66354,0.61436,0.61525,0.58132,0.68609,0.74546,0.68021,0.62865,0.55283,0.74754,0.78876,0.62307,0.66019,0.62574,0.64747,0.58185,0.71533,0.61949,0.70647,0.691,0.72411,0.67813,0.57917,NaN
0.67738,0.58705,0.79226,0.71674,0.67924,0.76205,0.66362,0.66734,0.79494,0.77143,0.64189,0.78542,0.73043,0.80432,0.684,0.59688,0.52411,0.63132,0.66622,0.68177,0.6221,0.59658,0.74487,0.7058,0.63854,0.7006,0.68542,0.7346,0.67098,0.78594,0.73385,0.67448,0.64747,0.75885,0.70945,0.69591,0.74323,0.79182,0.66414,0.77812,0.74115,0.68289,0.80632,0.73966,0.67604,0.78862,0.6875,0.69025,0.64918,0.70327,0.77135,0.66622,0.64643,0.53393,0.63095,0.74323,0.6808,0.72924,0.71265,0.73705,0.72195,0.65528,0.70885,0.70067,0.7776,0.70268,0.77924,0.7814,0.72835,0.59851,0.70432,0.62083,0.67604,0.65469,0.75997,0.69167,0.53653,0.71525,0.62359,0.75119,0.8189,0.46659,0.69286,0.66354,0.70737,0.63296,0.77768,0.67448,0.7151,0.69174,0.68348,0.65893,0.60893,0.77046,0.73289,0.71265,0.66987,0.6526,0.65729,0.68333,0.66882,0.7564,0.68958,0.67292,0.58609,0.65885,0.7808,0.69799,0.72686,0.76518,0.68244,0.81057,0.709,0.74643,0.70268,0.6407,0.76987,0.59286,0.60424,0.75164,0.70588,0.74479,0.74174,0.5933,0.69948,0.54658,0.75327,0.69382,0.74182,0.75171,0.7657,0.7058,0.67738,0.75573,0.71689,0.74487,0.65692,0.62768,0.6683,0.66563,0.71525,0.69807,0.8657,0.6058,0.68973,0.68385,0.67612,0.70692,0.73646,0.59591,0.725,0.58549,0.71049,0.74382,0.55685,0.6558,0.66563,0.68757,0.6631,0.70417,0.6064,0.69323,0.72656,0.71205,0.6631,0.68073,0.72567,0.58229,0.6401,0.73557,0.60171,0.5971,0.65424,0.65268,0.77001,0.75632,0.73073,0.75632,0.71674,0.66935,0.77612,0.54807,0.78653,0.67046,0.80789,0.60856,0.79182,0.65417,0.60833,0.6939,0.71682,0.634,0.69561,0.7933,0.62143,0.71101,NaN
0.73408,0.81563,0.68958,0.56927,0.64129,0.58958,0.71004,0.73966,0.6756,0.74896,0.75796,0.66935,0.71838,0.7131,0.66882,0.66205,0.6183,0.78698,0.67292,0.65424,0.57879,0.67098,0.67865,0.77396,0.79122,0.69167,0.69122,0.66838,0.7058,0.69174,0.62091,0.68132,0.63229,0.80841,0.78385,0.57463,0.71153,0.69539,0.75417,0.71205,0.66987,0.65848,0.74948,0.58385,0.58289,0.61109,0.67768,0.58653,0.61525,0.73497,0.71882,0.81369,0.54911,0.73661,0.69702,0.56778,0.66458,0.7099,0.6308,0.77202,0.7715,0.75781,0.70841,0.79799,0.61466,0.775,0.6724,0.68185,0.6965,0.72292,0.72351,0.7058,0.87247,0.78549,0.74167,0.67664,0.62344,0.63132,0.72403,0.67976,0.79955,0.56079,0.7308,0.8006,0.66942,0.65841,0.63973,0.72195,0.63757,0.73817,0.73705,0.79896,0.54286,0.78237,0.77411,0.75893,0.76927,0.86466,0.6881,0.82039,0.7526,0.73185,0.70893,0.82872,0.72716,0.69382,0.70625,0.66615,0.70543,0.7,0.67351,0.79226,0.67716,0.79688,0.64063,0.71629,0.79427,0.71726,0.67552,0.71979,0.62091,0.74747,0.62359,0.69598,0.67507,0.66161,0.65372,0.8776,0.65164,0.63549,0.83385,0.61786,0.68095,0.76466,0.68504,0.72552,0.71049,0.66146,0.75208,0.66205,0.63757,0.55997,0.71823,0.78333,0.6933,0.69278,0.60692,0.76257,0.67976,0.62135,0.7058,0.61094,0.62552,0.70052,0.73542,0.63125,0.69435,0.6465,0.71979,0.80476,0.60372,0.78132,0.70112,0.63646,0.65744,0.76882,0.65424,0.71935,0.71153,0.72247,0.71153,0.74754,0.75379,0.68765,0.72984,0.7401,0.74382,0.5974,0.62656,0.68869,0.66629,0.65164,0.6401,0.66362,0.68854,0.59859,0.65372,0.66622,0.63393,0.66518,0.65997,0.74695,0.73668,0.68333,0.69702,0.60744,NaN
0.77991,0.72188,0.83333,0.65677,0.63192,0.67708,0.79442,0.72299,0.68497,0.64896,0.82984,0.69435,0.77254,0.69435,0.7532,0.56205,0.6558,0.65573,0.61562,0.68341,0.66942,0.57411,0.73802,0.66771,0.66622,0.62813,0.5631,0.61213,0.73497,0.68862,0.75841,0.72507,0.66875,0.69591,0.7026,0.63192,0.78653,0.78601,0.70417,0.8433,0.68653,0.71994,0.74323,0.71198,0.69851,0.66734,0.70268,0.64591,0.71317,0.75268,0.7657,0.84911,0.69598,0.62411,0.62307,0.60528,0.67396,0.81615,0.6433,0.81577,0.70588,0.78594,0.75216,0.67403,0.79903,0.62813,0.66927,0.7308,0.76838,0.60729,0.70476,0.65997,0.74122,0.65737,0.6625,0.69643,0.56094,0.70632,0.63757,0.76726,0.8183,0.69308,0.8131,0.7006,0.72567,0.63341,0.71473,0.71049,0.69695,0.64129,0.77351,0.65208,0.65536,0.73237,0.67723,0.74018,0.68802,0.66466,0.66622,0.70164,0.68385,0.84643,0.7881,0.65372,0.63966,0.73445,0.70312,0.6849,0.66064,0.75937,0.73289,0.82039,0.64278,0.66875,0.74375,0.659,0.66927,0.64539,0.71302,0.60417,0.64591,0.85372,0.68296,0.78036,0.65632,0.52098,0.80893,0.74948,0.70164,0.75737,0.7526,0.71161,0.77991,0.65216,0.71317,0.73802,0.77403,0.60833,0.76146,0.72143,0.72507,0.70997,0.7776,0.65833,0.70372,0.76778,0.66629,0.83757,0.74851,0.7151,0.6683,0.54844,0.66615,0.76823,0.71146,0.72813,0.66205,0.62775,0.74479,0.78601,0.56101,0.82507,0.71362,0.75833,0.74598,0.75945,0.78341,0.68185,0.74903,0.79435,0.71987,0.63817,0.73504,0.77202,0.77359,0.74635,0.73757,0.7401,0.73385,0.73348,0.67567,0.69851,0.7974,0.65112,0.69792,0.58921,0.80685,0.7256,0.66935,0.59955,0.79435,0.7282,0.80439,0.71146,0.60015,0.63557,NaN
0.67515,0.68497,0.70268,0.56882,0.51272,0.59226,0.6721,0.7526,0.625,0.68601,0.64278,0.6064,0.65632,0.74062,0.65052,0.57307,0.47813,0.60216,0.67351,0.54859,0.58862,0.64539,0.7282,0.70476,0.73765,0.63289,0.62515,0.73341,0.61563,0.66213,0.63296,0.58504,0.59539,0.65171,0.71362,0.51585,0.77984,0.58333,0.69435,0.66057,0.64546,0.54345,0.66987,0.63132,0.58036,0.72731,0.57307,0.71406,0.5657,0.67604,0.66629,0.67054,0.58616,0.65491,0.6631,0.60796,0.54226,0.65945,0.59792,0.67574,0.62939,0.72716,0.59546,0.67031,0.65796,0.60685,0.6032,0.67292,0.61362,0.5881,0.77708,0.64702,0.75952,0.5965,0.57351,0.63973,0.53757,0.6099,0.5651,0.56771,0.67604,0.46124,0.66875,0.72515,0.5471,0.5651,0.67679,0.65692,0.70379,0.60647,0.61563,0.66726,0.50491,0.64323,0.68408,0.64479,0.72507,0.73609,0.58765,0.58661,0.69278,0.61354,0.58452,0.64702,0.6151,0.61629,0.69122,0.65632,0.58088,0.64122,0.70521,0.66771,0.73281,0.72247,0.67872,0.65439,0.61257,0.5625,0.6032,0.69018,0.62656,0.70952,0.53981,0.55491,0.60692,0.58601,0.63854,0.65112,0.65833,0.60573,0.70424,0.61741,0.68765,0.72046,0.67195,0.65007,0.63281,0.53289,0.67976,0.63869,0.68177,0.60313,0.64174,0.64851,0.67188,0.66109,0.65335,0.69115,0.67723,0.63757,0.69494,0.46778,0.5032,0.67299,0.59226,0.70685,0.60744,0.58251,0.60164,0.62098,0.64479,0.66942,0.66525,0.61726,0.50804,0.59129,0.70781,0.66577,0.57984,0.65,0.60885,0.57299,0.65335,0.57574,0.64591,0.58862,0.60067,0.66987,0.58028,0.63304,0.65335,0.48333,0.61882,0.72135,0.68393,0.48549,0.6375,0.59702,0.49702,0.68542,0.65,0.64115,0.6715,0.64539,0.56637,0.52783,NaN
0.70246,0.67463,0.72359,0.68244,0.64792,0.59338,0.56667,0.72991,0.70439,0.784,0.59509,0.71987,0.66801,0.67939,0.6872,0.57195,0.53981,0.55952,0.63817,0.68497,0.54405,0.43103,0.65432,0.5465,0.69799,0.58192,0.57612,0.69092,0.66793,0.69226,0.70268,0.58705,0.50692,0.6808,0.6689,0.65208,0.6558,0.77314,0.60796,0.73132,0.60372,0.67969,0.64702,0.66161,0.69174,0.67292,0.63132,0.6122,0.63676,0.7221,0.66205,0.71302,0.67448,0.4901,0.61228,0.57143,0.66525,0.71369,0.5721,0.73698,0.55313,0.56473,0.6183,0.57887,0.7308,0.56838,0.61682,0.70647,0.76905,0.53921,0.73876,0.48028,0.64174,0.62039,0.66942,0.55112,0.59286,0.6997,0.57366,0.68876,0.7096,0.52292,0.70856,0.70424,0.69479,0.52366,0.77135,0.60268,0.72455,0.65104,0.60231,0.61838,0.65885,0.72366,0.65781,0.6221,0.69182,0.58705,0.68549,0.60528,0.57202,0.67835,0.64278,0.65737,0.57054,0.71518,0.64025,0.61057,0.77381,0.734,0.71689,0.70126,0.74345,0.6715,0.584,0.70312,0.69494,0.54606,0.61369,0.61109,0.64658,0.64174,0.66667,0.62135,0.72143,0.57478,0.73772,0.65952,0.61689,0.61116,0.73765,0.6776,0.61808,0.64955,0.72321,0.79494,0.58512,0.56213,0.69338,0.71257,0.66845,0.60126,0.65015,0.56213,0.66793,0.62768,0.61667,0.64449,0.69278,0.56161,0.61882,0.58557,0.69494,0.6064,0.58504,0.59338,0.63757,0.68437,0.64442,0.56987,0.5596,0.64955,0.72976,0.759,0.61302,0.56518,0.66324,0.49487,0.56205,0.65751,0.50491,0.6128,0.61042,0.65573,0.78571,0.61577,0.6433,0.7314,0.71994,0.59115,0.76667,0.54501,0.72411,0.56116,0.72671,0.53676,0.70126,0.65424,0.63653,0.69397,0.67001,0.59345,0.77381,0.7215,0.72135,0.66719,NaN
0.75491,0.75521,0.84479,0.70469,0.65171,0.63438,0.68921,0.72924,0.74226,0.75,0.75067,0.74539,0.85484,0.80789,0.82403,0.62768,0.57664,0.65365,0.62813,0.71882,0.5965,0.60327,0.84219,0.65,0.66414,0.60938,0.58914,0.68504,0.73601,0.77299,0.7782,0.74903,0.625,0.7532,0.74948,0.67046,0.81882,0.8256,0.68646,0.88393,0.75632,0.70744,0.73385,0.72969,0.7631,0.75067,0.74955,0.74695,0.74234,0.78393,0.81778,0.83765,0.7564,0.55327,0.66786,0.64382,0.65625,0.85156,0.58393,0.88036,0.68713,0.71927,0.75945,0.68132,0.88132,0.70521,0.73906,0.73705,0.859,0.60521,0.8006,0.62039,0.71101,0.66049,0.7,0.70372,0.55156,0.73966,0.69799,0.7631,0.85268,0.57225,0.77351,0.72664,0.75171,0.63237,0.87515,0.73028,0.78653,0.61109,0.69226,0.7125,0.72202,0.81674,0.66682,0.7558,0.78594,0.68132,0.78601,0.6506,0.68177,0.79955,0.83289,0.70789,0.59174,0.80841,0.75833,0.76094,0.70126,0.81771,0.74122,0.85685,0.78445,0.73958,0.74271,0.74338,0.72656,0.61101,0.65781,0.61667,0.64382,0.80789,0.74442,0.72202,0.71153,0.56265,0.84018,0.73698,0.7131,0.72612,0.84635,0.74702,0.73304,0.64695,0.73921,0.85156,0.73132,0.68125,0.75625,0.80268,0.75528,0.71101,0.78073,0.64062,0.69851,0.77507,0.69234,0.76778,0.78497,0.63281,0.69643,0.61927,0.72031,0.79635,0.65313,0.71771,0.67455,0.74963,0.72188,0.71935,0.54955,0.79903,0.79799,0.85625,0.6439,0.67403,0.73445,0.66414,0.69382,0.82976,0.60112,0.62775,0.76109,0.74598,0.86317,0.68698,0.84903,0.77448,0.74115,0.69702,0.81734,0.62247,0.81094,0.62924,0.73229,0.634,0.78914,0.70164,0.71101,0.72455,0.83601,0.67403,0.74814,0.79062,0.68348,0.73244,NaN
